CMDLINE python steps/step17.py
MEM 3.500000 1726192274.8744
MEM 18.250000 1726192274.9746
MEM 27.500000 1726192275.0749
MEM 34.500000 1726192275.1751
MEM 45.000000 1726192275.2754
MEM 70.750000 1726192275.3757
